index,path,user,vote
42,/wiki/Utilisateur:JilanoB,JilanoB,non
43,/wiki/Utilisateur:Lepticed7,Lepticed7,non
44,/wiki/Utilisateur:ZetaKebab,ZetaKebab,non
45,/wiki/Utilisatrice:Darmo117,Darmo117,non
46,/wiki/Utilisatrice:ZeldAurore,ZeldAurore,non
47,/wiki/Utilisateur:Manjiro5,Manjiro5,non
48,/wiki/Utilisateur:LadyBirdy38,LadyBirdy38,non
49,/wiki/Utilisateur:Sam_Hocevar,Sam_Hocevar,non
50,/wiki/Utilisateur:Leznodc,Leznodc,non
51,/wiki/Utilisateur:Nclm,Nclm,non
52,/wiki/Utilisateur:Poslovitch,Poslovitch,non
53,/wiki/Utilisateur:BluffOrNot,BluffOrNot,non
54,/wiki/Utilisateur:D952,D952,non
55,/wiki/Utilisateur:LRCLC,LRCLC,non
56,/wiki/Utilisateur:Mecreant,Mecreant,non
57,/wiki/Utilisateur:Au_passage,Au_passage,non
58,/wiki/Utilisateur:Binabik,Binabik,non
59,/wiki/Utilisateur:Etty_N.,Etty_N.,non
60,/wiki/Utilisateur:Sukkoria,Sukkoria,non
61,/wiki/Utilisateur:Ll0zz,Ll0zz,non
62,/wiki/Utilisatrice:Matou91,Matou91,non
63,/wiki/Utilisateur:Typhoeus,Typhoeus,non
64,/wiki/Utilisateur:DonCamillo,DonCamillo,non
65,/wiki/Utilisateur:YanikB,YanikB,non
66,/wiki/Utilisateur:Redalert666,Redalert666,non
67,/wiki/Utilisateur:Encyclop%C3%A9disme,Encyclopédisme,non
68,/wiki/Utilisateur:Ejowan,Ejowan,non
69,/wiki/Utilisatrice:Maud_erre,Maud_erre,non
70,/wiki/Utilisateur:Clambin,Clambin,non
71,/wiki/Utilisateur:Roguy_fr,Roguy_fr,non
72,/wiki/Utilisateur:Evpok,Evpok,non
73,/wiki/Utilisatrice:Guallendra,Guallendra,non
74,/wiki/Utilisatrice:FirePowi,FirePowi,non
75,/wiki/Utilisateur:FR,FR,non
76,/wiki/Utilisateur:Hypa,Hypa,non
77,/wiki/Utilisateur:Mmenal,Mmenal,non
78,/wiki/Utilisateur:Michel421,Michel421,non
79,/wiki/Utilisateur:Zabu64,Zabu64,non
80,/wiki/Utilisateur:Divergood,Divergood,non
81,/wiki/Utilisateur:Fulax,Fulax,non
82,/wiki/Utilisatrice:.Anja.,.Anja.,non
83,/wiki/Utilisateur:Cody_escouade_delta,Cody_escouade_delta,non
84,/wiki/Utilisateur:Nattes_%C3%A0_chat,Nattes_à_chat,non
85,/wiki/Utilisatrice:Ezelty,Ezelty,non
86,/wiki/Utilisatrice:Lastrik,Lastrik,non
87,/wiki/Utilisateur:GloBoy93,GloBoy93,non
88,/wiki/Utilisateur:Furmarley,Furmarley,non
89,/wiki/Utilisateur:Kayl,Kayl,non
90,/wiki/Utilisateur:Koreller,Koreller,non
91,/wiki/Utilisateur:Mathis_B,Mathis_B,non
92,/wiki/Utilisateur:Perceval-1990,Perceval-1990,non
93,/wiki/Utilisatrice:Celinea33,Celinea33,non
94,/wiki/Utilisateur:Kirham,Kirham,non
95,/wiki/Utilisateur:Rell_Canis,Rell_Canis,non
96,/wiki/Utilisateur:Tifroumi,Tifroumi,non
97,/wiki/Utilisateur:Virevolter_nonobstant,Virevolter_nonobstant,non
98,/wiki/Utilisateur:Vacnor,Vacnor,non
99,/wiki/Utilisateur:21stCenturySloth,21stCenturySloth,non
100,/wiki/Utilisatrice:Allweno,Allweno,non
101,/wiki/Utilisateur:Cin%C3%A9philkino,Cinéphilkino,non
102,/wiki/Utilisateur:Gentil_Hibou,Gentil_Hibou,non
103,/wiki/Utilisateur:Hamuli,Hamuli,non
104,/wiki/Utilisateur:WhilelM,WhilelM,non
105,/wiki/Utilisateur:Djh%C3%A9,Djhé,non
106,/wiki/Utilisatrice:Jorune,Jorune,non
107,/wiki/Utilisateur:Thiewofficiel,Thiewofficiel,non
108,/wiki/Utilisateur:PardusTigris,PardusTigris,non
109,/wiki/Utilisateur:Rome2,Rome2,non
110,/wiki/Utilisateur:Paul_Arth,Paul_Arth,non
111,/wiki/Utilisateur:BotaFlo,BotaFlo,non
112,/wiki/Utilisateur:Beluro17,Beluro17,non
113,/wiki/Utilisateur:Igriffin_Hi%C3%A9roc%C3%A9phale,Igriffin_Hiérocéphale,non
114,/wiki/Utilisateur:Pielpaniemi,Pielpaniemi,non
115,/wiki/Utilisatrice:Fhala.K,Fhala.K,non
116,/wiki/Utilisateur:D.March,D.March,non
117,/wiki/Utilisateur:Ash_Crow,Ash_Crow,non
118,/wiki/Utilisateur:LeCharybde,LeCharybde,non
119,/wiki/Utilisateur:Lofhi,Lofhi,non
120,/wiki/Utilisatrice:Celinea33,Celinea33,non
121,/wiki/Utilisateur:PAC2,PAC2,non
122,/wiki/Utilisateur:Fanfwah,Fanfwah,non
123,/wiki/Utilisateur:Chtfn,Chtfn,non
124,/wiki/Utilisateur:Anejersa,Anejersa,non
125,/wiki/Utilisateur:Pythakos,Pythakos,non
0,/wiki/Utilisateur:Slzbg,Slzbg,neutre
1,/wiki/Utilisateur:Turb,Turb,neutre
2,/wiki/Utilisateur:Pa2chant.bis,Pa2chant.bis,neutre
3,/wiki/Utilisateur:Fran%C3%A7oisD,FrançoisD,neutre
4,/wiki/Utilisateur:Borvan53,Borvan53,neutre
5,/wiki/Utilisateur:Toghebon,Toghebon,neutre
6,/wiki/Utilisatrice:Frenouille,Frenouille,neutre
7,/wiki/Utilisatrice:Rartroz,Rartroz,neutre
8,/wiki/Utilisateur:Bischnu,Bischnu,neutre
